Photo,Isomeric_SMILES,SMILES_without_chirality
1,O=C1NCCCC1=C=CCC(F)(F)F,O=C1NCCCC1=C=CCC(F)(F)F
2,c1ccc(C2=N[C@H](c3cccnc3)CO2)cc1,c1ccc(C2=NC(c3cccnc3)CO2)cc1
3,COC(=O)CCCC=C=C1CCNC1=O,COC(=O)CCCC=C=C1CCNC1=O
4,COC(=O)[C@H]1C[C@@H](c2ccccc2)[C@@H]1c1cccc(Br)c1,COC(=O)C1CC(c2ccccc2)C1c1cccc(Br)c1
5,CC(=O)N[C@](CCc1ccccc1)(c1ccc2c(c1)OCO2)c1c[nH]c2ccccc12,CC(=O)NC(CCc1ccccc1)(c1ccc2c(c1)OCO2)c1c[nH]c2ccccc12
6,C[C@]12C[C@H](c3cccc(F)c3)N1c1ccccc1NC2=O,CC12CC(c3cccc(F)c3)N1c1ccccc1NC2=O
7,C[C@@]1(C(=O)OCc2ccccc2)C[C@H]2C(=O)Nc3ccccc3[C@H]21,CC1(C(=O)OCc2ccccc2)CC2C(=O)Nc3ccccc3C21
8,O=C1Nc2ccc(Br)cc2[C@H]2C[C@@H]3CCO[C@@]132,O=C1Nc2ccc(Br)cc2C2CC3CCOC132
9,CC(C)O[C@@]12C(=O)Nc3ccc(I)cc3[C@@H]1[C@H]1C(=O)NC(=O)[C@H]12,CC(C)OC12C(=O)Nc3ccc(I)cc3C1C1C(=O)NC(=O)C12
10,O=C(c1ccccc1)c1ccccc1,O=C(c1ccccc1)c1ccccc1
11,O=c1c2ccccc2oc2ccccc12,O=c1c2ccccc2oc2ccccc12
12,O=c1c2ccccc2sc2ccccc12,O=c1c2ccccc2sc2ccccc12
13,CC1(C)CC1c1cc2ccc(OCc3ccccc3)cc2[nH]c1=O,CC1(C)CC1c1cc2ccc(OCc3ccccc3)cc2[nH]c1=O
14,CC1(C)C[C@H]1c1cc2ccc(OCc3ccccc3)cc2[nH]c1=O,CC1(C)CC1c1cc2ccc(OCc3ccccc3)cc2[nH]c1=O
15,C[C@@]12CNC(=O)[C@@](C)(C1)C[C@](C)(c1nc3cc4c(=O)c5ccccc5sc4cc3o1)C2,CC12CNC(=O)C(C)(C1)CC(C)(c1nc3cc4c(=O)c5ccccc5sc4cc3o1)C2
16,C=CC(C)(C)c1cc2ccc(OCc3ccccc3)cc2[nH]c1=O,C=CC(C)(C)c1cc2ccc(OCc3ccccc3)cc2[nH]c1=O
17,CC1(C)C[C@@H]1c1cc2ccc(OCc3ccccc3)cc2[nH]c1=O,CC1(C)CC1c1cc2ccc(OCc3ccccc3)cc2[nH]c1=O
18,COc1ccc2cc([C@@H]3CC34CCCC4)c(=O)[nH]c2c1,COc1ccc2cc(C3CC34CCCC4)c(=O)[nH]c2c1
19,CC1(C)C[C@H]1c1cc2ccc(OS(=O)(=O)C(F)(F)F)cc2[nH]c1=O,CC1(C)CC1c1cc2ccc(OS(=O)(=O)C(F)(F)F)cc2[nH]c1=O
20,Cc1ccc2cc([C@@H]3CC3(C)C)c(=O)[nH]c2c1,Cc1ccc2cc(C3CC3(C)C)c(=O)[nH]c2c1
21,CC1(C)C[C@H]1c1cc2ccccc2[nH]c1=O,CC1(C)CC1c1cc2ccccc2[nH]c1=O
22,CC1(C)C[C@H]1c1cc2ccc(-c3ccccc3)cc2[nH]c1=O,CC1(C)CC1c1cc2ccc(-c3ccccc3)cc2[nH]c1=O
23,O=C1Nc2ccc(OC(F)(F)F)cc2[C@]12CC2(Cl)Cl,O=C1Nc2ccc(OC(F)(F)F)cc2C12CC2(Cl)Cl
24,Cc1ccc2c(c1)[C@]1(CC1(Cl)Cl)C(=O)N2,Cc1ccc2c(c1)C1(CC1(Cl)Cl)C(=O)N2
25,O=C1Nc2ccc(Cl)cc2[C@]12CC2(Cl)Cl,O=C1Nc2ccc(Cl)cc2C12CC2(Cl)Cl
26,O=C1Nc2ccc(Br)cc2[C@]12CC2(Cl)Cl,O=C1Nc2ccc(Br)cc2C12CC2(Cl)Cl
27,O=C1Nc2ccc(I)cc2[C@]12CC2(Cl)Cl,O=C1Nc2ccc(I)cc2C12CC2(Cl)Cl
28,O=C1Nc2ccccc2[C@]12CC2(Cl)Cl,O=C1Nc2ccccc2C12CC2(Cl)Cl
29,CCC1(CC)CC12C(=O)Nc1ccccc12,CCC1(CC)CC12C(=O)Nc1ccccc12
30,C[C@@]12CNC(=O)[C@@](C)(C1)C[C@@](C)(c1nc3cc4c(=O)c5ccccc5oc4cc3o1)C2,CC12CNC(=O)C(C)(C1)CC(C)(c1nc3cc4c(=O)c5ccccc5oc4cc3o1)C2
31,CCC1(CC)C[C@@]12C(=O)Nc1ccccc12,CCC1(CC)CC12C(=O)Nc1ccccc12
32,O=C1Nc2ccccc2[C@]12CC2(Cc1ccccc1)Cc1ccccc1,O=C1Nc2ccccc2C12CC2(Cc1ccccc1)Cc1ccccc1
33,O=C1Nc2ccccc2[C@]12CC21CCCCC1,O=C1Nc2ccccc2C12CC21CCCCC1
34,O=C1Nc2ccccc2[C@]12CC21CCOCC1,O=C1Nc2ccccc2C12CC21CCOCC1
